,director_name,gross
194,Carl Rinsch,38297305.0
1103,Mike Nawrocki,38273231.0
1200,Paul Michael Glaser,38122105.0
625,James Foley,38093845.0
1417,Sean Penn,38072384.0
727,Joel Gallen,37882551.0
879,Kerry Conran,37760080.0
708,Joan Chen,37752931.0
757,John Hoffman,37566230.0
21,Alan Poul,37481242.0
240,Christian E. Christiansen,37300107.0
1145,Nicolas Winding Refn,37164301.0
421,Edward Norton,37036404.0
1130,Neil Marshall,36961333.0
1109,Mira Nair,36942746.0
228,Chris Nahon,36833473.0
256,Chuck Sheetz,36696761.0
399,Don Siegel,36500000.0
1146,Nicole Holofcener,36368077.0
192,Camille Delamarre,36313384.0
1552,Todd Graff,36125510.0
1618,Walter Hill,36101317.0
107,Barry Cook,36073232.0
387,Diane Keaton,36037909.0
205,Cecil B. DeMille,36000000.0
578,Henry Koster,36000000.0
53,Andrew Bergman,35754405.0
295,Dan Mazer,35537564.0
548,Gregory Nava,35422828.0
827,Joseph Ruben,35324232.0
615,Jake Schreier,35315702.0
850,Justin Chadwick,35139705.0
1411,Scott Speer,35057332.0
1165,Oliver Parker,35042787.0
239,Christian Duguay,35035073.0
1557,Todd Strauss-Schulson,35033759.0
985,Mark Helfrich,35000629.0
603,J Blakeson,34912982.0
1336,Robert Harmon,34882660.0
1006,Martin Lawrence,34746109.0
939,Liz Friedlander,34703228.0
458,Florent-Emilio Siri,34636443.0
626,James Gray,34579114.0
1232,Peter Landesman,34531832.0
512,George Armitage,34485930.0
1579,Tommy O'Haver,34473936.0
1187,Patty Jenkins,34468224.0
895,Kevin Tancharoen,34313048.0
1241,Peter Sollett,34094265.0
93,Ari Sandel,34017854.0
994,Mark Romanek,34009176.0
870,Kelly Makin,33864342.0
1250,Phil Traill,33860010.0
1020,Matt Williams,33771174.0
808,Jonathan Hensleigh,33682273.0
878,Kent Alterman,33472850.0
1486,Steven E. de Souza,33423521.0
772,John Patrick Shanley,33422556.0
1431,Sheldon Lettich,33376305.0
389,Dinesh D'Souza,33349949.0
1073,Michael Schultz,33000000.0
977,Marcus Raboy,32983713.0
751,John Gatins,32701088.0
149,Bonnie Hunt,32662299.0
829,Joseph Zito,32600000.0
1469,Steve Bendelack,32553210.0
248,Christopher Landon,32453345.0
540,Grant Heslov,32416109.0
1094,Mike Figgis,32368140.0
1446,Stanley Tong,32333860.0
293,Dan Gilroy,32279955.0
932,Leslie Small,32230907.0
974,Marco Schnabel,32178777.0
573,Hayao Miyazaki,32140315.0
